Map Title                        ,Time      ,Deaths,Date Achived,Ranking,Status               ,Notes                                                    
Strawberry Jam Beginner Lobby    ,7:07:52.0 ,1782  ,-           ,-      ,Completed            ,Achived some time in 2023 but I forgot to record the date
Strawberry Jam Intermediate Lobby,12:59:07.0,4734  ,06/10/2023  ,-      ,Completed            ,                                                         
Strawberry Jam Advanced Lobby    ,          ,      ,            ,       ,WIP                  ,                                                         
Strawberry Jam Expert Lobby      ,          ,      ,            ,       ,TODO                 ,                                                         
Strawberry Jam Grandmaster Lobby ,          ,      ,            ,       ,Not planned currently,                                                         
Another Farewell Map A-Side      ,12:09:43.0,2974  ,05/10/2023  ,-      ,Completed            ,                                                         
Another Farewell Map B-Side      ,          ,      ,            ,       ,Not planned currently,                                                         
Another Farewell Map C-Side      ,          ,      ,            ,       ,Not planned currently,                                                         
Conqueror's Peak                 ,4:03:57.0 ,1564  ,11/10/2023  ,-      ,Completed            ,                                                         
Ultra Summit                     ,          ,      ,            ,       ,TODO                 ,                                                         
Glyph (Main Chapter)             ,3:32:15.0 ,1314  ,16/12/2023  ,-      ,Completed            ,                                                         
Glyph (Spring Side)              ,0:45:14.0 ,367   ,16/12/2023  ,-      ,Completed            ,                                                         
Glyph (Summer Side)              ,0:26:13.0 ,187   ,16/12/2023  ,       ,Completed            ,                                                         
Glyph (Fall Side)                ,1:16:39.0 ,552   ,16/12/2023  ,       ,Completed            ,                                                         
Glyph (Winter Side)              ,1:06:22.0 ,468   ,16/12/2023  ,       ,Completed            ,                                                         
Glyph (Void Side)                ,0:19:40.0 ,152   ,16/12/2023  ,       ,Completed            ,                                                         
Glyph (Void Side B)              ,2:23:45.0 ,1138  ,18/12/2023  ,       ,Completed            ,                                                         
Into The Jungle                  ,          ,      ,            ,       ,TODO                 ,                                                         
The Road Less Traveled           ,          ,      ,            ,       ,WIP                  ,                                                         
Everlasting Farewell             ,          ,      ,            ,       ,WIP                  ,                                                         
Leviathan's Ultras               ,          ,      ,            ,       ,TODO                 ,                                                         
Inwards                          ,          ,      ,            ,       ,TODO                 ,                                                         
Anubi                            ,          ,      ,            ,       ,TODO                 ,                                                         
1D                               ,          ,      ,            ,       ,WIP                  ,                                                         
2D                               ,          ,      ,            ,       ,TODO                 ,                                                         
3D                               ,          ,      ,            ,       ,TODO                 ,                                                         
4D                               ,          ,      ,            ,       ,TODO                 ,                                                         
5D                               ,          ,      ,            ,       ,TODO                 ,                                                         
6D                               ,          ,      ,            ,       ,TODO                 ,                                                         
7D                               ,          ,      ,            ,       ,TODO                 ,                                                         
8D                               ,          ,      ,            ,       ,TODO                 ,                                                         
9D                               ,          ,      ,            ,       ,TODO                 ,                                                         
Spring 2020 Collab               ,          ,      ,            ,       ,TODO                 ,                                                         